ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2725983,2861841,1,2
2725989,2725989,0,0
2726115,2726133,1,2
2726115,2812948,1,2
2726115,2812949,1,2
2726115,2880291,1,2
2726115,2888113,1,1
2726133,2726133,0,0
2726380,2726381,1,2
2726380,2726383,1,2
2726380,2726384,1,2
2726380,2726386,1,2
2726380,2726389,1,2
2726381,2726381,0,0
2726382,2726382,0,0
2726385,2726385,0,0
2726386,2726386,0,0
2726389,2726389,0,0
2726517,2726520,1,2
2726517,2807909,1,2
2726517,2823149,1,2
2726517,2836331,1,2
2726517,2866873,1,1
2726518,2726518,0,0
2726520,2726520,0,0
2726663,2726664,1,2
2726663,2726666,1,2
2726663,2726667,1,2
2726663,2726669,1,2
2726663,2726672,1,2
2726663,2726674,1,2
2726663,2726675,1,2
2726663,2800259,1,2
2726663,2813104,1,2
2726663,2813106,1,2
2726663,2836334,1,2
2726663,2853340,1,2
2726663,2862016,1,2
2726663,2874929,1,2
2726664,2726664,0,0
2726665,2726665,0,0
2726668,2726668,0,0
2726669,2726669,0,0
2726672,2726672,0,0
2726673,2726673,0,0
2726822,2726823,1,2
2726822,2726825,1,2
2726822,2726826,1,2
2726822,2726828,1,2
2726822,2807894,1,2
2726822,2812961,1,2
2726822,2823132,1,1
2726822,2853326,1,2
2726822,2853327,1,2
2726822,2874906,1,2
2726822,2880298,1,2
2726822,2888127,1,2
2726823,2726823,0,0
2726824,2726824,0,0
2726827,2726827,0,0
2726828,2726828,0,0
2727184,2727186,1,2
2727184,2836367,1,2
2727184,2862173,1,2
2794168,2725208,1,1
2794340,2725756,1,1
2794528,2726384,1,1
2794529,2726387,1,1
2799933,2725746,1,1
2800088,2726383,1,2
2800088,2726385,1,2
2800088,2726386,1,2
2800088,2726388,1,2
2800089,2726383,1,1
2800259,2726665,1,2
2800259,2726667,1,2
2800259,2813104,1,1
2800259,2823154,1,1
2800259,2828347,1,1
2800259,2853340,1,1
2801516,2725198,1,2
2801516,2725199,1,2
2801516,2725204,1,2
2801516,2725206,1,2
2801516,2725636,1,2
2801516,2725638,1,2
2801516,2725744,1,2
2801516,2725747,1,2
2801516,2725749,1,2
2801516,2725988,1,2
2801516,2726131,1,2
2801516,2726133,1,2
2801516,2726382,1,2
2801516,2726383,1,2
2801516,2726385,1,2
2801516,2726388,1,2
2801516,2726518,1,2
2801516,2726520,1,2
2801516,2726666,1,2
2801516,2726668,1,2
2801516,2726669,1,2
2801516,2726671,1,2
2801516,2726674,1,2
2801516,2726825,1,2
2801516,2726827,1,2
2801516,2726828,1,2
2801516,2726830,1,2
2801516,2727185,1,2
2801516,2799933,1,2
2801516,2800259,1,2
2801516,2807870,1,2
2801516,2807893,1,2
2801516,2807909,1,2
2801516,2812947,1,2
2801516,2812949,1,2
2801516,2812962,1,2
2801516,2813105,1,2
2801516,2813106,1,2
2801516,2813108,1,2
441840,40488071,9,13
441840,40489904,8,12
441840,40490945,10,14
441840,40491008,7,11
441840,40491931,5,9
441840,40493497,9,13
441840,42872924,8,12
441840,43020562,8,12
441840,43020888,4,8
441840,43020925,4,5
441840,43020933,7,11
441840,43021060,6,11
441840,43021062,7,11
441840,43021068,4,8
441840,43021300,4,5
441840,43021460,5,9
441840,43021828,7,11
441840,43021997,4,10
441840,43022053,6,12
441840,43022066,7,11
441840,44782442,8,12
441840,44788803,5,5
441840,44803453,9,13
441840,44803652,4,4
441840,44803800,3,3
441840,44803909,4,4
441840,44805762,5,5
441840,44809428,5,5
442019,43020889,3,3
442019,43021297,3,3
442982,44804850,1,1
443403,438172,3,4
443783,4137382,3,3
443783,4141360,3,3
443784,4049297,2,3
443784,4139517,3,3
443784,40486063,5,5
443883,4124696,5,5
443883,4154290,3,3
443883,4190306,5,5
443916,36716113,2,3
443916,37110775,3,3
444070,43022053,2,2
2001434,2001467,1,1
2001434,2001469,1,2
2001434,2001470,1,2
2001434,2001490,1,2
2001464,2001465,1,1
2001467,2001467,0,0
2001467,2001469,1,1
2001467,2001472,1,1
2001470,2001470,0,0
2001474,2001474,0,0
2001474,2001477,1,1
2001479,2001479,0,0
2001479,2001481,1,1
2001479,2001483,1,1
2001481,2001481,0,0
2001489,2001490,1,1
2001490,2001490,0,0
2001528,2001578,1,2
2001528,2001992,1,2
2001551,2001551,0,0
2001578,2001578,0,0
2001981,2001992,1,1
2008357,2008357,0,0
2725194,2725198,1,2
2725194,2725199,1,2
2725194,2725204,1,2
2725194,2725206,1,2
2725194,2815235,1,2
2725194,2848304,1,2
2725200,2725200,0,0
2725204,2725204,0,0
2725208,2725208,0,0
2725620,2725636,1,2
2725620,2725638,1,2
2725620,2828012,1,2
2725620,2840575,1,2
2725620,2848473,1,2
2725620,2866542,1,2
2725638,2725638,0,0
2725737,2725744,1,2
2725737,2725747,1,2
2725737,2725749,1,2
2725737,2725762,1,2
2725737,2799933,1,2
2725737,2852986,1,2
2725737,2887806,1,2
2725737,2892976,1,2
2725744,2725744,0,0
2725747,2725747,0,0
2725748,2725748,0,0
2725756,2725756,0,0
2725759,2725759,0,0
2725762,2725762,0,0
2725983,2725989,1,2
2725983,2807870,1,1
2725983,2822967,1,2
2725983,2822968,1,2
2725983,2848636,1,2
2725987,2725987,0,0
2725988,2725988,0,0
2726115,2726131,1,2
2726115,2726132,1,2
2726115,2812947,1,2
2726115,2822985,1,2
2726115,2880290,1,2
2726131,2726131,0,0
2726132,2726132,0,0
2726380,2726382,1,2
2726380,2726385,1,2
2726380,2726387,1,2
2726380,2726388,1,2
2726383,2726383,0,0
2726384,2726384,0,0
2726387,2726387,0,0
2726388,2726388,0,0
2726517,2726518,1,2
2726517,2726519,1,2
2726517,2823150,1,2
2726517,2893318,1,2
2726517,2893319,1,2
2726519,2726519,0,0
2726663,2726665,1,2
2726663,2726668,1,2
2726663,2726670,1,2
2726663,2726671,1,2
2726663,2726673,1,2
2726663,2813105,1,2
2726663,2813107,1,2
2726663,2813108,1,2
2726663,2823154,1,2
2726663,2828347,1,2
2726663,2853341,1,2
2726663,2874928,1,2
2726663,2880447,1,1
2726663,2880448,1,2
2726666,2726666,0,0
2726667,2726667,0,0
2726670,2726670,0,0
2726671,2726671,0,0
2726674,2726674,0,0
2726675,2726675,0,0
2726822,2726824,1,2
2726822,2726827,1,2
2726822,2726829,1,2
2726822,2726830,1,2
2726822,2807893,1,2
2726822,2812962,1,2
2726822,2888128,1,2
2726825,2726825,0,0
2726826,2726826,0,0
2726829,2726829,0,0
2726830,2726830,0,0
2727184,2727185,1,2
2727184,2823316,1,2
2727184,2862172,1,1
2727184,2893344,1,2
2727185,2727185,0,0
2727186,2727186,0,0
2799933,2725747,1,1
2799933,2799933,0,0
2800088,2726381,1,2
2800088,2726382,1,2
2800088,2726384,1,2
2800088,2726387,1,2
2800088,2726389,1,2
2800259,2726664,1,2
2800259,2726666,1,2
2800259,2800259,0,0
2801516,2725200,1,2
2801516,2725208,1,2
2801516,2725637,1,2
2801516,2725745,1,2
2801516,2725746,1,2
2801516,2725748,1,2
2801516,2725756,1,2
2801516,2725759,1,2
2801516,2725762,1,2
2801516,2725987,1,2
2801516,2725989,1,2
2801516,2726132,1,2
2801516,2726381,1,2
2801516,2726384,1,2
2801516,2726386,1,2
2801516,2726387,1,2
2801516,2726389,1,2
2801516,2726519,1,2
2801516,2726664,1,2
2801516,2726665,1,2
2801516,2726667,1,2
2801516,2726670,1,2
2801516,2726672,1,2
2801516,2726673,1,2
2801516,2726675,1,2
2801516,2726823,1,2
2801516,2726824,1,2
2801516,2726826,1,2
2801516,2726829,1,2
2801516,2727186,1,2
2801516,2807894,1,2
2801516,2812948,1,2
2801516,2812961,1,2
2801516,2813104,1,2
2801516,2813107,1,2
